FM
      QTR       Y         PI         R        DR
    1.0000    0.9697    0.8951    0.9675    0.5181
    2.0000    0.9127    0.8176    0.9013    0.2451
    3.0000    0.8452    0.7144    0.8191    0.0834
    4.0000    0.7747    0.6113    0.7316    0.0016
    5.0000    0.7044    0.5302    0.6439   -0.0447
    6.0000    0.6360    0.4461    0.5592   -0.0683
    7.0000    0.5699    0.3704    0.4788   -0.0808
    8.0000    0.5067    0.3016    0.4038   -0.0884
    9.0000    0.4465    0.2387    0.3344   -0.0916
   10.0000    0.3896    0.1825    0.2711   -0.0925
   11.0000    0.3362    0.1325    0.2137   -0.0916
   12.0000    0.2864    0.0885    0.1623   -0.0893
   13.0000    0.2403    0.0503    0.1167   -0.0860
   14.0000    0.1979    0.0176    0.0767   -0.0819
   15.0000    0.1594   -0.0101    0.0421   -0.0771
   16.0000    0.1247   -0.0330    0.0124   -0.0719
   17.0000    0.0936   -0.0516   -0.0126   -0.0664
   18.0000    0.0661   -0.0663   -0.0332   -0.0608
   19.0000    0.0421   -0.0775   -0.0500   -0.0550
   20.0000    0.0213   -0.0856   -0.0631   -0.0493
   21.0000    0.0036   -0.0909   -0.0730   -0.0438
   22.0000   -0.0112   -0.0938   -0.0801   -0.0384
   23.0000   -0.0235   -0.0947   -0.0847   -0.0332
   24.0000   -0.0333   -0.0939   -0.0871   -0.0284
   25.0000   -0.0409   -0.0916   -0.0877   -0.0239
   26.0000   -0.0466   -0.0882   -0.0867   -0.0197
   27.0000   -0.0506   -0.0839   -0.0844   -0.0159
   28.0000   -0.0531   -0.0789   -0.0811   -0.0125
   29.0000   -0.0544   -0.0734   -0.0770   -0.0094
   30.0000   -0.0545   -0.0675   -0.0723   -0.0066
   31.0000   -0.0536   -0.0615   -0.0672   -0.0042
   32.0000   -0.0521   -0.0555   -0.0617   -0.0021
   33.0000   -0.0499   -0.0495   -0.0562   -0.0004
   34.0000   -0.0472   -0.0437   -0.0506    0.0011
   35.0000   -0.0442   -0.0381   -0.0451    0.0023
   36.0000   -0.0410   -0.0328   -0.0397    0.0033
   37.0000   -0.0376   -0.0279   -0.0346    0.0041
   38.0000   -0.0341   -0.0232   -0.0297    0.0047
   39.0000   -0.0306   -0.0190   -0.0252    0.0051
   40.0000   -0.0272   -0.0151   -0.0209    0.0053

FRB

    1.0000    0.9306    0.5873    0.9197    0.2024
    2.0000    0.8290    0.4436    0.8070    0.1737
    3.0000    0.7013    0.3063    0.6663    0.0527
    4.0000    0.5651    0.2235    0.5172   -0.0555
    5.0000    0.4348    0.1641    0.3771   -0.1126
    6.0000    0.3189    0.1257    0.2549   -0.1332
    7.0000    0.2209    0.1006    0.1542   -0.1253
    8.0000    0.1401    0.0849    0.0736   -0.1130
    9.0000    0.0751    0.0755    0.0111   -0.0968
   10.0000    0.0239    0.0701   -0.0358   -0.0791
   11.0000   -0.0158    0.0671   -0.0700   -0.0624
   12.0000   -0.0462    0.0655   -0.0942   -0.0481
   13.0000   -0.0691    0.0645   -0.1107   -0.0363
   14.0000   -0.0859    0.0636   -0.1214   -0.0272
   15.0000   -0.0978    0.0625   -0.1277   -0.0203
   16.0000   -0.1056    0.0610   -0.1307   -0.0154
   17.0000   -0.1101    0.0591   -0.1313   -0.0119
   18.0000   -0.1116    0.0567   -0.1299   -0.0094
   19.0000   -0.1106    0.0539   -0.1271   -0.0075
   20.0000   -0.1076    0.0508   -0.1230   -0.0061
   21.0000   -0.1027    0.0475   -0.1180   -0.0048
   22.0000   -0.0964    0.0442   -0.1122   -0.0037
   23.0000   -0.0889    0.0409   -0.1057   -0.0027
   24.0000   -0.0807    0.0377   -0.0989   -0.0016
   25.0000   -0.0719    0.0346   -0.0918   -0.0007
   26.0000   -0.0629    0.0317   -0.0846    0.0002
   27.0000   -0.0538    0.0290   -0.0774    0.0009
   28.0000   -0.0450    0.0265   -0.0703    0.0016
   29.0000   -0.0365    0.0242   -0.0636    0.0021
   30.0000   -0.0286    0.0221   -0.0571    0.0025
   31.0000   -0.0213    0.0201   -0.0511    0.0028
   32.0000   -0.0146    0.0184   -0.0455    0.0030
