FM
     QTR       Y          PI        R        DR
    1.0000         0         0         0         0
    2.0000   -0.0000   -0.0055    0.9992    0.9992
    3.0000   -0.0225   -0.0103    0.7258   -0.2734
    4.0000   -0.0472   -0.0157    0.5098   -0.2160
    5.0000   -0.0665   -0.0207    0.3448   -0.1650
    6.0000   -0.0787   -0.0246    0.2218   -0.1230
    7.0000   -0.0843   -0.0280    0.1315   -0.0903
    8.0000   -0.0846   -0.0306    0.0661   -0.0654
    9.0000   -0.0811   -0.0324    0.0193   -0.0468
   10.0000   -0.0751   -0.0336   -0.0136   -0.0329
   11.0000   -0.0674   -0.0341   -0.0362   -0.0226
   12.0000   -0.0589   -0.0339   -0.0513   -0.0151
   13.0000   -0.0501   -0.0333   -0.0607   -0.0094
   14.0000   -0.0415   -0.0323   -0.0660   -0.0053
   15.0000   -0.0332   -0.0309   -0.0682   -0.0022
   16.0000   -0.0254   -0.0293   -0.0682    0.0001
   17.0000   -0.0184   -0.0274   -0.0664    0.0017
   18.0000   -0.0121   -0.0254   -0.0635    0.0029
   19.0000   -0.0065   -0.0233   -0.0598    0.0038
   20.0000   -0.0017   -0.0212   -0.0555    0.0043
   21.0000    0.0024   -0.0190   -0.0508    0.0046
   22.0000    0.0058   -0.0169   -0.0460    0.0048
   23.0000    0.0086   -0.0149   -0.0412    0.0048
   24.0000    0.0108   -0.0129   -0.0364    0.0048
   25.0000    0.0124   -0.0111   -0.0317    0.0046
   26.0000    0.0136   -0.0094   -0.0273    0.0044
   27.0000    0.0144   -0.0078   -0.0232    0.0042
   28.0000    0.0148   -0.0063   -0.0193    0.0039
   29.0000    0.0149   -0.0050   -0.0157    0.0036
   30.0000    0.0147   -0.0038   -0.0125    0.0032
   31.0000    0.0143   -0.0027   -0.0096    0.0029
   32.0000    0.0138   -0.0018   -0.0070    0.0026
   33.0000    0.0131   -0.0010   -0.0047    0.0023
   34.0000    0.0123   -0.0003   -0.0027    0.0020
   35.0000    0.0114    0.0003   -0.0009    0.0017
   36.0000    0.0105    0.0008    0.0005    0.0015
   37.0000    0.0095    0.0012    0.0017    0.0012
   38.0000    0.0086    0.0015    0.0027    0.0010
   39.0000    0.0077    0.0017    0.0035    0.0008
   40.0000    0.0068    0.0019    0.0041    0.0006
   41.0000    0.0059    0.0020    0.0045    0.0004

FRB
    1.0000         0         0         0         0
    2.0000   -0.0073   -0.0001    1.0037    1.0037
    3.0000   -0.1325   -0.0382    0.6233   -0.3804
    4.0000   -0.2250   -0.0567    0.3443   -0.2790
    5.0000   -0.2586   -0.0711    0.1751   -0.1693
    6.0000   -0.2940   -0.0787    0.0266   -0.1485
    7.0000   -0.2792   -0.0812   -0.0411   -0.0676
    8.0000   -0.2584   -0.0800   -0.0868   -0.0458
    9.0000   -0.2275   -0.0762   -0.1077   -0.0209
   10.0000   -0.1961   -0.0708   -0.1169   -0.0092
   11.0000   -0.1649   -0.0647   -0.1170   -0.0001
   12.0000   -0.1357   -0.0583   -0.1113    0.0057
   13.0000   -0.1093   -0.0521   -0.1022    0.0090
   14.0000   -0.0861   -0.0463   -0.0914    0.0109
   15.0000   -0.0658   -0.0411   -0.0795    0.0119
   16.0000   -0.0481   -0.0365   -0.0671    0.0124
   17.0000   -0.0326   -0.0324   -0.0548    0.0124
   18.0000   -0.0192   -0.0290   -0.0427    0.0120
   19.0000   -0.0075   -0.0260   -0.0314    0.0114
   20.0000    0.0024   -0.0235   -0.0209    0.0105
   21.0000    0.0108   -0.0214   -0.0114    0.0094
   22.0000    0.0177   -0.0196   -0.0032    0.0083
   23.0000    0.0232   -0.0181    0.0038    0.0070
   24.0000    0.0274   -0.0169    0.0096    0.0058
   25.0000    0.0304   -0.0158    0.0141    0.0045
   26.0000    0.0322   -0.0149    0.0175    0.0034
   27.0000    0.0331   -0.0141    0.0199    0.0024
   28.0000    0.0331   -0.0134    0.0213    0.0015
   29.0000    0.0323   -0.0128    0.0220    0.0007
   30.0000    0.0310   -0.0123    0.0221    0.0001
   31.0000    0.0291   -0.0118    0.0217   -0.0004
   32.0000    0.0270   -0.0114    0.0209   -0.0008
   33.0000    0.0246   -0.0110    0.0198   -0.0011
   34.0000    0.0220   -0.0106    0.0185   -0.0013
   35.0000    0.0195   -0.0103    0.0171   -0.0014
   36.0000    0.0169   -0.0100    0.0156   -0.0015
   37.0000    0.0144   -0.0098    0.0142   -0.0015
   38.0000    0.0120   -0.0095    0.0127   -0.0014
   39.0000    0.0098   -0.0093    0.0113   -0.0014
   40.0000    0.0077   -0.0091    0.0100   -0.0013
   41.0000    0.0059   -0.0090    0.0088   -0.0012

MSR
    1.0000         0         0         0         0
    2.0000   -0.1114   -0.0137    0.8669    0.8669
    3.0000   -0.2154   -0.0225    0.5042   -0.3627
